,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
JoJo's Bizarre Adventure: Golden Wind,TV,39,Finished Airing,"Oct 6, 2018 to Jul 28, 2019",Fall 2018,Saturdays at 01:05 (JST),David Production,"['Action', 'Adventure', 'Shounen']",23 min. per ep.,R - 17+ (violence & profanity),8.59,194,628812,20380,67258,455641,11967,6487,87459,628812,105785,132487,102408,40111,12341,5011,2428,968,622,1757
Demon Slayer: Kimetsu no Yaiba,TV,26,Finished Airing,"Apr 6, 2019 to Sep 28, 2019",Spring 2019,Saturdays at 23:30 (JST),ufotable,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']",23 min. per ep.,R - 17+ (violence & profanity),8.59,15,1763806,55486,170817,1381521,28948,23085,159435,1763806,301216,378845,316278,126181,35159,14589,4925,1919,1087,3430
I want to eat your pancreas,Movie,1,Finished Airing,"Sep 1, 2018",,,Studio VOLN,"['Slice of Life', 'Drama', 'Romance']",1 hr. 48 min.,PG-13 - Teens 13 or older,8.59,244,548099,12116,13420,384425,3042,1128,146084,548099,85939,102304,77912,32701,10437,4223,1935,955,509,839
Fate/stay night: Heaven's Feel - II. Lost Butterfly,Movie,1,Finished Airing,"Jan 12, 2019",,,ufotable,"['Action', 'Fantasy', 'Magic', 'Supernatural']",1 hr. 57 min.,R - 17+ (violence & profanity),8.58,667,240260,2613,,,,,,,,,,,,,,,,
Natsume's Book of Friends Season 5,TV,11,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,Wednesdays at 01:35 (JST),Shuka,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",23 min. per ep.,PG-13 - Teens 13 or older,8.58,1121,144107,644,8981,76478,2900,1624,54124,144107,14766,17629,16597,6868,1723,579,148,43,29,208
The Shadow that Devours the Sun,Special,1,Finished Airing,"Jan 4, 2014",,,Artland,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",45 min.,PG-13 - Teens 13 or older,8.57,1375,111473,150,2459,72702,998,526,34788,111473,11989,18072,16366,5981,1308,377,91,43,38,361
Gurren Lagann The Movie: The Lights in the Sky are Stars,Movie,1,Finished Airing,"Apr 22, 2009",,,Gainax,"['Action', 'Mecha', 'Sci-Fi', 'Space', 'Super Power']",2 hr. 5 min.,R+ - Mild Nudity,8.57,922,176457,777,,,,,,,,,,,,,,,,
Bakuman.,TV,25,Finished Airing,"Oct 1, 2011 to Mar 24, 2012",Fall 2011,Saturdays at 17:30 (JST),J.C.Staff,"['Comedy', 'Drama', 'Romance', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.38,516,300960,1258,10055,229288,6706,3897,51014,300960,32974,54030,58737,26162,7149,2347,632,238,119,416
the Garden of sinners Chapter 5: Paradox Paradigm,Movie,1,Finished Airing,"Aug 16, 2008",,,ufotable,"['Action', 'Mystery', 'Supernatural', 'Drama', 'Romance', 'Thriller']",1 hr. 54 min.,R - 17+ (violence & profanity),8.56,821,197078,3857,3576,140671,1734,701,50396,197078,27088,35968,28571,11859,3681,1483,543,261,135,445
A Place Further Than The Universe,TV,13,Finished Airing,"Jan 2, 2018 to Mar 27, 2018",Winter 2018,Tuesdays at 20:30 (JST),Madhouse,"['Adventure', 'Comedy', 'Drama']",23 min. per ep.,PG-13 - Teens 13 or older,8.56,403,372355,10739,28976,181159,12256,7757,142207,372355,41304,49588,41923,19185,6350,2612,846,323,176,338
Laid-Back Camp Season 2,TV,13,Finished Airing,"Jan 7, 2021 to Apr 1, 2021",Winter 2021,Thursdays at 23:00 (JST),C-Station,"['Slice of Life', 'Comedy']",23 min. per ep.,PG-13 - Teens 13 or older,8.56,1175,136105,1662,24786,43098,2674,938,64609,136105,10550,13240,13053,4974,1227,419,88,55,27,202
Natsume's Book of Friends Season 2,TV,13,Finished Airing,"Jan 6, 2009 to Mar 31, 2009",Winter 2009,Tuesdays at 01:00 (JST),Brain's Base,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",24 min. per ep.,PG-13 - Teens 13 or older,8.56,779,208591,1294,7167,137890,3932,1718,57884,208591,25525,32852,30979,12743,3123,940,235,92,70,220
One Piece - Statistics,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,Sundays at 09:30 (JST),Toei Animation,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",24 min.,PG-13 - Teens 13 or older,8.55,31,1500839,118481,992448,20,203985,144686,159700,1500839,331992,183838,154976,92480,38000,20257,8715,3944,2823,7058
Fruits Basket 2nd Season - Statistics,TV,25,Finished Airing,"Apr 7, 2020 to Sep 22, 2020",Spring 2020,Tuesdays at 01:30 (JST),TMS Entertainment,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",23 min. per ep.,PG-13 - Teens 13 or older,8.55,607,259779,3623,41811,122483,9372,3994,82119,259779,26633,34404,30515,13146,4122,1576,554,174,75,291
Haikyuu!!: To the Top 2nd Season - Statistics,TV,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,Saturdays at 02:25 (JST),Production I.G,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,8.55,321,459088,3946,58086,297272,7103,2902,93725,459088,58598,78812,71697,29116,7524,2446,800,268,126,545
Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,26,Finished Airing,"Jan 1, 2004 to Jan 8, 2005",Winter 2004,Unknown,Production I.G,"['Action', 'Military', 'Sci-Fi', 'Mystery', 'Police', 'Mecha', 'Seinen']",25 min. per ep.,R - 17+ (violence & profanity),8.54,820,197190,2727,7477,117943,5706,2231,63833,197190,20656,30237,25585,11089,3027,1148,391,187,109,530
One Punch Man - Statistics,TV,12,Finished Airing,"Oct 5, 2015 to Dec 21, 2015",Fall 2015,Mondays at 01:05 (JST),Madhouse,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural']",24 min. per ep.,R - 17+ (violence & profanity),8.54,5,2348403,50187,,,,,,,,,,,,,,,,
Neon Genesis Evangelion: The End of Evangelion - Statistics,Movie,1,Finished Airing,"Jul 19, 1997",,,"Gainax,       Production I.G","['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",1 hr. 27 min.,R+ - Mild Nudity,8.53,192,634111,18272,9339,533582,2744,1640,86806,634111,142427,106677,85807,45190,17960,7753,5056,2614,2228,2561
Assassination Classroom Second Season,TV,25,Finished Airing,"Jan 8, 2016 to Jul 1, 2016",Winter 2016,Fridays at 01:25 (JST),Lerche,"['Action', 'Comedy', 'School', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,8.53,85,1009704,14151,51613,791748,24433,14267,127643,1009704,144974,192561,174966,77002,21993,7881,2554,921,459,848
Gintama.: Slip Arc,TV,13,Finished Airing,"Oct 2, 2017 to Dec 25, 2017",Fall 2017,Mondays at 01:35 (JST),Bandai Namco Pictures,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,8.53,1144,140597,717,8237,87435,2331,1311,41283,140597,21468,17266,17933,8664,2642,897,366,160,94,819
Gintama: The Movie,Movie,1,Finished Airing,"Apr 24, 2010",,,Sunrise,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",1 hr. 35 min.,R - 17+ (violence & profanity),8.52,1276,124227,456,1903,94858,893,668,25905,124227,19315,19433,19608,8809,2456,938,312,112,66,653
Holo Graffiti,ONA,Unknown,Currently Airing,"May 5, 2019 to ?",,,"None found, add some",['Comedy'],1 min.,PG-13 - Teens 13 or older,8.52,3110,30022,1226,14657,1,1128,1008,13228,30022,6061,1390,1386,812,318,205,87,75,81,712
Slam Dunk - Statistics,TV,101,Finished Airing,"Oct 16, 1993 to Mar 23, 1996",Fall 1993,Unknown,Toei Animation,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",23 min. per ep.,PG-13 - Teens 13 or older,8.52,742,217538,5173,16893,116172,13135,8380,62958,217538,25676,28843,27485,13556,4308,1709,523,229,128,474
Space Brothers,TV,99,Finished Airing,"Apr 1, 2012 to Mar 22, 2014",Spring 2012,Sundays at 07:00 (JST),A-1 Pictures,"['Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Space']",24 min. per ep.,PG-13 - Teens 13 or older,8.52,1019,157926,3339,16975,38792,13393,7160,81606,157926,10037,13243,11917,6013,2112,932,306,125,64,407
Rainbow,TV,26,Finished Airing,"Apr 7, 2010 to Sep 29, 2010",Spring 2010,Unknown,Madhouse,"['Drama', 'Historical', 'Seinen', 'Thriller']",22 min. per ep.,R - 17+ (violence & profanity),8.51,483,321625,7226,22068,142215,16773,12705,127864,321625,33799,37890,32036,15251,5716,2717,1289,537,287,629
Attack on Titan,TV,25,Finished Airing,"Apr 7, 2013 to Sep 29, 2013",Spring 2013,Sundays at 01:58 (JST),Wit Studio,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",24 min. per ep.,R - 17+ (violence & profanity),8.51,2,2841720,125208,155243,2462519,40172,46691,137095,2841720,542434,582282,518921,243488,76128,32994,12500,4941,2900,5974
Steins;Gate 0 - Statistics,TV,23,Finished Airing,"Apr 12, 2018 to Sep 27, 2018",Spring 2018,Thursdays at 01:35 (JST),White Fox,"['Sci-Fi', 'Psychological', 'Drama', 'Thriller']",23 min. per ep.,PG-13 - Teens 13 or older,8.51,182,642865,8814,61461,328549,21329,13518,218008,642865,82381,87745,67537,31633,12229,5402,3457,1711,1011,1469
Vivy -Fluorite Eye's Song-,TV,13,Currently Airing,"Apr 3, 2021 to ?",Spring 2021,Saturdays at 23:30 (JST),Wit Studio,"['Action', 'Music', 'Sci-Fi', 'Thriller']",24 min. per ep.,R - 17+ (violence & profanity),8.51,856,190865,1832,107880,8,2996,2144,77837,190865,8126,12058,9632,3615,1094,527,211,80,41,109
Aria the Origination - Statistics,TV,13,Finished Airing,"Jan 8, 2008 to Apr 1, 2008",Winter 2008,Tuesdays at 02:00 (JST),Hal Film Maker,"['Sci-Fi', 'Slice of Life', 'Fantasy', 'Shounen']",24 min. per ep.,G - All Ages,8.51,1466,102366,3540,3838,31945,2586,2552,61445,102366,9072,5856,4963,3183,1578,776,335,151,111,471
Gintama: The Semi-Final - Statistics,Special,2,Finished Airing,"Jan 15, 2021 to Jan 20, 2021",,,"None found, add some","['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.51,3127,29688,148,1404,10128,406,129,17621,29688,2587,2026,2235,1019,273,99,31,8,11,141
Grave of the Fireflies,Movie,1,Finished Airing,"Apr 16, 1988",,,Studio Ghibli,"['Drama', 'Historical']",1 hr. 28 min.,PG-13 - Teens 13 or older,8.51,307,481655,5299,6547,359951,2974,1340,110843,481655,87084,76655,68412,33116,12799,5474,2557,1018,612,888
Chihayafuru 3 - Statistics,TV,24,Finished Airing,"Oct 23, 2019 to Mar 25, 2020",Fall 2019,Wednesdays at 01:29 (JST),Madhouse,"['Game', 'Slice of Life', 'Sports', 'Drama', 'School', 'Josei']",22 min. per ep.,PG-13 - Teens 13 or older,8.5,1520,98623,1003,,,,,,,,,,,,,,,,
JoJo's Bizarre Adventure: Diamond is Unbreakable,TV,39,Finished Airing,"Apr 2, 2016 to Dec 24, 2016",Spring 2016,Saturdays at 00:30 (JST),David Production,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Drama', 'Shounen']",23 min. per ep.,R - 17+ (violence & profanity),8.5,150,719131,25354,47767,574455,12585,6965,77359,719131,104685,156610,136895,58373,16468,5473,2319,899,562,1363
Berserk,TV,25,Finished Airing,"Oct 8, 1997 to Apr 1, 1998",Fall 1997,Wednesdays at 01:45 (JST),OLM,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",25 min. per ep.,R+ - Mild Nudity,8.5,322,460628,18220,,,,,,,,,,,,,,,,
KONOSUBA -God's blessing on this wonderful world!- Legend of Crimson,Movie,1,Finished Airing,"Aug 30, 2019",,,J.C.Staff,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Parody', 'Supernatural']",1 hr. 30 min.,PG-13 - Teens 13 or older,8.5,295,490460,3333,10526,377185,2519,1806,98424,490460,59275,98982,92726,34987,8725,2776,924,398,202,381
Perfect Blue - Statistics,Movie,1,Finished Airing,"Feb 28, 1998",,,Madhouse,"['Dementia', 'Drama', 'Horror', 'Psychological']",1 hr. 21 min.,R+ - Mild Nudity,8.5,335,445073,10588,8365,289445,2759,1129,143375,445073,58256,73231,61594,27285,9058,3347,1460,560,375,704
Samurai Champloo - Statistics,TV,26,Finished Airing,"May 20, 2004 to Mar 19, 2005",Spring 2004,Saturdays at 10:30 (JST),Manglobe,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen']",24 min. per ep.,R - 17+ (violence & profanity),8.5,95,962707,28378,65151,587707,48978,21500,239371,962707,111854,157135,142067,66575,18949,6938,2102,830,372,978
Tian Guan Ci Fu Special - Statistics,ONA,1,Finished Airing,"Feb 16, 2021",,,Haoliners Animation League,"['Historical', 'Supernatural', 'Drama']",22 min.,PG-13 - Teens 13 or older,8.5,4392,14506,164,300,8798,85,76,5247,14506,2022,1621,1648,828,239,89,27,18,13,33
Banana Fish - Statistics,TV,24,Finished Airing,"Jul 6, 2018 to Dec 21, 2018",Summer 2018,Fridays at 00:55 (JST),MAPPA,"['Action', 'Adventure', 'Drama', 'Shoujo']",22 min. per ep.,R - 17+ (violence & profanity),8.49,264,517554,18440,52241,238881,24110,21792,180530,517554,63612,55450,51370,26754,10739,4771,2196,874,491,899
Haikyu!!,TV,25,Finished Airing,"Apr 6, 2014 to Sep 21, 2014",Spring 2014,Sundays at 17:00 (JST),Production I.G,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.49,42,1365918,54978,93045,1038955,36438,25823,171657,1365918,184450,253092,255005,109277,28049,10917,3253,1293,787,1823
Mo Dao Zu Shi - Statistics,ONA,15,Finished Airing,"Jul 9, 2018 to Oct 6, 2018",,,B.CMAY PICTURES,"['Action', 'Adventure', 'Mystery', 'Historical', 'Supernatural']",24 min. per ep.,R - 17+ (violence & profanity),8.49,1093,147992,4259,13284,56516,4449,4385,69358,147992,13261,12438,11744,5936,2062,951,393,187,114,481
Mob Psycho 100 - Statistics,TV,12,Finished Airing,"Jul 11, 2016 to Sep 27, 2016",Summer 2016,Tuesdays at 00:00 (JST),Bones,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,8.48,36,1405904,29114,,,,,,,,,,,,,,,,
Attack on Titan Season 2,TV,12,Finished Airing,"Apr 1, 2017 to Jun 17, 2017",Spring 2017,Saturdays at 22:00 (JST),Wit Studio,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",24 min. per ep.,R - 17+ (violence & profanity),8.48,13,1848937,16344,75731,1588038,15547,13060,156561,1848937,293622,369196,359485,155590,43204,14211,5606,1921,956,2410
Steins;Gate: The Movie − Load Region of Déjà Vu,Movie,1,Finished Airing,"Apr 20, 2013",,,White Fox,"['Sci-Fi', 'Drama']",1 hr. 30 min.,PG-13 - Teens 13 or older,8.48,312,473846,2101,7393,360393,2689,1082,102289,473846,66175,87973,75404,34569,11054,4144,1696,752,447,852
Zoku Owarimonogatari - Statistics,Movie,6,Finished Airing,"Nov 10, 2018",,,Shaft,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",28 min. per ep.,R - 17+ (violence & profanity),8.48,981,163897,687,5521,88693,1882,593,67208,163897,15229,22504,21306,8296,2325,745,273,123,69,445
Nana - Statistics,TV,47,Finished Airing,"Apr 5, 2006 to Mar 28, 2007",Spring 2006,Unknown,Madhouse,"['Music', 'Slice of Life', 'Comedy', 'Drama', 'Romance', 'Shoujo']",23 min. per ep.,R+ - Mild Nudity,8.47,334,446293,17177,31303,199369,23627,19623,172371,446293,48468,44675,39550,24078,10050,4840,2111,801,537,929
Nichijou - My Ordinary Life,TV,26,Finished Airing,"Apr 3, 2011 to Sep 25, 2011",Spring 2011,Sundays at 02:20 (JST),Kyoto Animation,"['Slice of Life', 'Comedy', 'School', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,8.47,158,689511,18274,69793,305743,52351,26631,234993,689511,67058,79412,76478,38784,13454,6282,2481,1113,573,965
Saenai Heroine no Sodatekata Fine - Statistics,Movie,1,Finished Airing,"Oct 26, 2019",,,CloverWorks,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",1 hr. 54 min.,PG-13 - Teens 13 or older,8.47,1402,108632,1393,3988,48423,1230,468,54523,108632,9027,11953,11323,4853,1551,537,174,88,39,136
Mushishi Path of Thorns,Special,1,Finished Airing,"Aug 20, 2014",,,Artland,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",47 min.,PG-13 - Teens 13 or older,8.46,1754,81416,108,1658,53498,712,353,25195,81416,8611,11730,12248,5115,1337,409,101,37,29,369
Owarimonogatari - Statistics,TV,12,Finished Airing,"Oct 4, 2015 to Dec 20, 2015",Fall 2015,Sundays at 00:00 (JST),Shaft,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",26 min. per ep.,R - 17+ (violence & profanity),8.46,389,381381,2296,18350,233384,8100,4061,117486,381381,35130,58947,58351,22465,5941,2024,768,304,177,627
Re:ZERO -Starting Life in Another World- Season 2,TV,13,Finished Airing,"Jul 8, 2020 to Sep 30, 2020",Summer 2020,Wednesdays at 22:30 (JST),White Fox,"['Psychological', 'Drama', 'Thriller', 'Fantasy']",27 min. per ep.,R - 17+ (violence & profanity),8.45,144,737044,9222,91504,447933,13451,6816,177340,737044,80894,123945,112186,47979,14979,5285,2630,1044,599,948
The Disastrous Life of Saiki K. 2,TV,24,Finished Airing,"Jan 17, 2018 to Jun 27, 2018",Winter 2018,Wednesdays at 01:35 (JST),"J.C.Staff,       Egg Firm","['Slice of Life', 'Comedy', 'Supernatural', 'School', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.45,359,411132,2979,30044,300416,8275,4401,67996,411132,46569,74471,75039,32895,8406,2695,727,264,124,487
Yu Yu Hakusho: Ghost Files,TV,112,Finished Airing,"Oct 10, 1992 to Jan 7, 1995",Fall 1992,Unknown,Studio Pierrot,"['Action', 'Comedy', 'Demons', 'Supernatural', 'Martial Arts', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.45,268,517255,16774,53410,273019,42476,19525,128825,517255,57561,69290,72968,38593,11567,4231,1176,465,204,536
Golden Kamuy Season 3,TV,12,Finished Airing,"Oct 5, 2020 to Dec 21, 2020",Fall 2020,Mondays at 23:00 (JST),Geno Studio,"['Action', 'Adventure', 'Historical', 'Seinen']",23 min. per ep.,R - 17+ (violence & profanity),8.45,1587,93687,756,9292,48084,1646,618,34047,93687,6472,13944,14371,4775,998,289,106,36,12,98
Puella Magi Madoka Magica the Movie: Rebellion,Movie,1,Finished Airing,"Oct 26, 2013",,,Shaft,"['Mystery', 'Psychological', 'Drama', 'Magic', 'Thriller']",1 hr. 56 min.,PG-13 - Teens 13 or older,8.45,512,302218,6924,4534,230587,2104,1099,63894,302218,51608,50053,41388,20773,8126,3515,2160,1124,602,853
Gintama: Yorinuki Gintama-san on Theater 2D - Statistics,Movie,2,Finished Airing,"Aug 26, 2012",,,Sunrise,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",1 hr. 36 min. per ep.,PG-13 - Teens 13 or older,8.44,2916,34003,42,1009,19081,547,509,12857,34003,4019,2804,3035,1589,508,227,66,37,75,442
Gotcha! - Statistics,Music,1,Finished Airing,"Sep 29, 2020",,,Bones,"['Music', 'Fantasy']",3 min.,PG - Children,8.44,3967,18229,170,270,16252,46,95,1566,18229,3795,2959,3006,1638,661,317,83,40,22,109
Ghost in the Shell: Stand Alone Complex,TV,26,Finished Airing,"Oct 1, 2002 to Oct 1, 2003",Fall 2002,Unknown,Production I.G,"['Action', 'Military', 'Sci-Fi', 'Police', 'Mecha', 'Seinen']",25 min. per ep.,R - 17+ (violence & profanity),8.44,455,337521,7608,17962,175281,16422,8547,119309,337521,30001,44428,40885,19543,6072,2713,1001,425,238,567
Major S5 - Statistics,TV,25,Finished Airing,"Jan 10, 2009 to Jun 27, 2009",Winter 2009,Unknown,SynergySP,"['Comedy', 'Drama', 'Romance', 'Shounen', 'Sports']",24 min. per ep.,PG-13 - Teens 13 or older,8.44,2144,59705,562,1715,46742,702,679,9867,59705,7574,10414,10176,4756,1344,480,119,64,38,388
Mo Dao Zu Shi 2nd Season - Statistics,ONA,8,Finished Airing,"Aug 3, 2019 to Sep 21, 2019",,,B.CMAY PICTURES,"['Action', 'Mystery', 'Historical', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,8.44,2089,61854,747,4619,33683,1057,689,21806,61854,6879,6962,7312,3648,1106,368,127,54,34,219
Maquia: When the Promised Flower Blooms,Movie,1,Finished Airing,"Feb 24, 2018",,,P.A. Works,"['Drama', 'Fantasy']",1 hr. 55 min.,PG-13 - Teens 13 or older,8.44,564,279072,4793,9708,142471,2625,928,123340,279072,31167,34214,29196,14827,5574,2350,1102,459,215,320
The Disastrous Life of Saiki K.,TV,120,Finished Airing,"Jul 4, 2016 to Dec 26, 2016",Summer 2016,Not scheduled once per week,"J.C.Staff,       Egg Firm","['Comedy', 'School', 'Shounen', 'Slice of Life', 'Supernatural']",5 min. per ep.,PG-13 - Teens 13 or older,8.43,156,699175,17063,73806,434255,32643,21627,136844,699175,72710,110472,118243,56132,16131,6307,2146,863,457,795
JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,TV,24,Finished Airing,"Jan 10, 2015 to Jun 20, 2015",Winter 2015,Saturdays at 00:30 (JST),David Production,"['Action', 'Adventure', 'Supernatural', 'Drama', 'Shounen']",23 min. per ep.,R - 17+ (violence & profanity),8.43,148,724873,13776,23478,630010,5850,3516,62019,724873,110355,148855,151235,68590,19263,6195,2268,885,422,1111
the Garden of sinners Chapter 7: Murder Speculation Part B,Movie,1,Finished Airing,"Aug 8, 2009",,,ufotable,"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']",2 hr. 1 min.,R - 17+ (violence & profanity),8.43,939,172010,1906,3155,120537,1656,613,46049,172010,20659,29322,25158,11335,3877,1543,697,333,167,456
Run with the Wind,TV,23,Finished Airing,"Oct 3, 2018 to Mar 27, 2019",Fall 2018,Wednesdays at 01:29 (JST),Production I.G,"['Comedy', 'Sports', 'Drama']",23 min. per ep.,PG-13 - Teens 13 or older,8.43,741,217158,4355,20899,113785,8483,6614,67377,217158,18745,29955,30037,14051,4205,1632,497,164,78,411
Mononoke - Statistics,TV,12,Finished Airing,"Jul 13, 2007 to Sep 28, 2007",Summer 2007,Unknown,Toei Animation,"['Mystery', 'Historical', 'Horror', 'Demons', 'Psychological', 'Supernatural', 'Fantasy', 'Seinen']",22 min. per ep.,R - 17+ (violence & profanity),8.43,681,237144,5806,15374,76938,10018,5147,129667,237144,16905,18637,17748,9079,3385,1345,631,241,147,515
March comes in like a lion,TV,22,Finished Airing,"Oct 8, 2016 to Mar 18, 2017",Fall 2016,Saturdays at 23:00 (JST),Shaft,"['Drama', 'Game', 'Seinen', 'Slice of Life']",25 min. per ep.,PG-13 - Teens 13 or older,8.42,275,510666,11909,48785,230073,28449,17391,185968,510666,38753,65015,63217,27729,9236,3977,1476,555,338,704
Cross Game - Statistics,TV,50,Finished Airing,"Apr 5, 2009 to Mar 28, 2010",Spring 2009,Unknown,SynergySP,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports']",23 min. per ep.,PG-13 - Teens 13 or older,8.42,1439,104853,2738,5453,50097,4209,3588,41506,104853,9448,12728,11605,6131,2202,934,393,138,84,373
